Taxa,Longitud,Latitud
Zea mays subsp. parviglumis raza Balsas,-100.1288889,18.38583333
Zea mays subsp. parviglumis raza Balsas,-99.9675,18.41666667
Zea mays subsp. parviglumis raza Balsas,-99.92138889,18.41777778
Zea mays subsp. parviglumis raza Balsas,-99.89166667,18.51833333
Zea mays subsp. parviglumis raza Balsas,-99.90944444,18.5
Zea mays subsp. parviglumis raza Balsas,-99.93972222,18.42722222
Zea mays subsp. parviglumis raza Balsas,-99.78444444,18.50444444
Zea mays subsp. parviglumis raza Balsas,-99.79222222,18.4925
Zea mays subsp. parviglumis raza Balsas,-99.91583333,18.22666667
Zea mays subsp. parviglumis raza Balsas,-99.93333333,18.17805556
Zea mays subsp. parviglumis raza Balsas,-100.2261111,18.485
Zea mays subsp. parviglumis raza Balsas,-100.2230556,18.56222222
Zea mays subsp. parviglumis raza Balsas,-100.2719444,18.61027778
Zea mays subsp. parviglumis raza Balsas,-100.3319444,18.55222222
Zea mays subsp. parviglumis raza Balsas,-100.3566667,18.64055556
Zea mays subsp. parviglumis raza Balsas,-100.2466667,19.18027778
Zea mays subsp. parviglumis raza Balsas,-100.2547222,19.17861111
Zea mays subsp. parviglumis raza Balsas,-100.3030556,19.16194444
Zea mays subsp. parviglumis raza Balsas,-100.3005556,19.03611111
Zea mays subsp. parviglumis raza Balsas,-100.2088889,18.89472222
Zea mays subsp. parviglumis raza Balsas,-100.2388889,18.85388889
Zea mays subsp. parviglumis raza Balsas,-100.3102778,18.76138889
Zea mays subsp. parviglumis raza Balsas,-100.2983333,18.81138889
Zea mays subsp. parviglumis raza Balsas,-100.23,18.88777778
Zea mays subsp. parviglumis raza Balsas,-100.9461111,18.805
Zea mays subsp. mexicana raza Mesa Central,-102.3383333,20.4225
Zea mays subsp. mexicana raza Mesa Central,-102.4163889,20.37694444
Zea mays subsp. mexicana raza Mesa Central,-102.6316667,20.3225
Zea mays subsp. mexicana raza Mesa Central,-102.6341667,20.31194444
Zea mays subsp. mexicana raza Mesa Central,-102.9044444,20.40333333
Zea mays subsp. mexicana raza Chalco,-98.84305556,19.53
Zea mays subsp. mexicana raza Chalco,-98.84861111,19.54861111
Zea mays subsp. mexicana raza Chalco,-98.92111111,19.49138889
Zea mays subsp. mexicana raza Chalco,-98.85333333,19.50472222
Zea mays subsp. mexicana raza Chalco,-98.9075,19.555
